,method,size,cudatime,totaltime,procnum
0,basic,1024,0.438137,0.456235,1
1,basic,1024,0.841774,0.862414,4
2,basic,2048,1.42009,1.49298,1
3,basic,2048,1.18827,1.32098,4
4,basic,3072,4.31799,4.48102,1
5,basic,3072,2.2428,2.45176,4
6,basic,4096,8.81675,9.1717,1
7,basic,4096,3.6848,4.24556,4
8,shared,1024,0.415304,0.432858,1
9,shared,1024,0.768421,0.80802,4
10,shared,2048,1.23244,1.30233,1
11,shared,2048,1.12185,1.2967,4
12,shared,3072,3.11797,3.28188,1
13,shared,3072,1.78148,2.13916,4
14,shared,4096,6.21003,6.51297,1
15,shared,4096,2.81771,3.17039,4
17,2x2+4x4,1024,0.78258,0.806407,2
18,2x2+4x4,1024,0.812904,0.833676,3
19,2x2+4x4,1024,0.81102,0.82396,4
20,2x2+4x4,2048,0.958192,1.04175,2
21,2x2+4x4,2048,0.950387,1.20511,3
22,2x2+4x4,2048,1.0492,1.24371,4
23,2x2+4x4,3072,1.38963,1.64662,2
24,2x2+4x4,3072,1.35491,1.58838,3
25,2x2+4x4,3072,1.16792,1.38712,4
26,2x2+4x4,4096,1.75597,2.14237,2
27,2x2+4x4,4096,1.37096,1.54496,3
28,2x2+4x4,4096,1.24852,1.50855,4
29,2x2+8x8,1024,0.632408,0.652478,2
30,2x2+8x8,1024,0.733079,0.869222,3
31,2x2+8x8,1024,0.78212,0.80091,4
34,2x2+8x8,2048,0.952833,1.21069,2
33,2x2+8x8,2048,0.838742,0.93038,3
32,2x2+8x8,2048,0.792497,0.87231,4
37,2x2+8x8,3072,1.05002,1.23922,2
35,2x2+8x8,3072,0.881883,1.06804,3
36,2x2+8x8,3072,0.821788,1.11262,4
38,2x2+8x8,4096,1.31752,1.78002,2
39,2x2+8x8,4096,1.18674,1.65038,3
40,2x2+8x8,4096,1.08179,1.40174,4
41,cpu,1024,0,5.39,1
42,cpu,2048,0,48.68,1
43,cpumpi,1024,0,1.39,4
44,cpumpi,2048,0,13.1,4
